date,rate_change,rate_hike,rate_cut,spy_day0,spy_day1,spy_day3,spy_day7,spy_day30,xlk_day0,xlk_day1,xlk_day3,xlk_day7,xlk_day30,xlf_day0,xlf_day1,xlf_day3,xlf_day7,xlf_day30,xlu_day0,xlu_day1,xlu_day3,xlu_day7,xlu_day30,xlre_day0,xlre_day1,xlre_day3,xlre_day7,xlre_day30
2020-03-04,-0.5,False,True,0.0,-3.32,-12.35,-13.92,-10.27,0.0,-3.16,-12.4,-10.24,-5.59,0.0,-4.82,-17.92,-17.06,-22.81,0.0,-1.54,-7.65,-16.08,-13.81,0.0,-2.29,-10.75,-11.92,-15.91
2020-03-16,-0.85,False,True,0.0,5.4,0.28,3.5,19.83,0.0,6.81,3.16,7.38,22.19,0.0,5.43,-1.41,3.38,15.2,0.0,12.79,1.6,0.82,16.87,0.0,6.07,-2.93,-1.8,15.73
2022-03-17,0.25,True,False,0.0,1.1,2.25,3.69,-6.3,0.0,2.05,3.32,5.55,-6.76,0.0,0.23,1.76,1.68,-10.96,0.0,-0.85,-0.05,3.25,0.44,0.0,0.23,-0.22,1.87,-0.54
2022-05-05,0.5,True,False,0.0,-0.6,-3.56,-3.32,-11.21,0.0,-0.8,-3.19,-4.97,-12.06,0.0,-0.71,-3.94,-4.97,-11.6,0.0,0.8,-1.17,0.01,-9.45,0.0,-1.02,-7.73,-5.63,-13.71
2022-06-16,0.75,True,False,0.0,0.22,2.55,4.27,12.52,0.0,0.92,3.04,4.39,16.84,0.0,0.29,2.07,4.02,8.98,0.0,-0.93,2.02,6.7,13.96,0.0,0.59,4.13,6.62,14.01
2022-07-28,0.75,True,False,0.0,1.46,0.49,1.7,0.13,0.0,1.53,0.6,2.63,-3.41,0.0,1.41,-0.54,1.29,3.37,0.0,0.86,0.76,1.39,5.54,0.0,0.38,-1.83,-0.29,-2.56
2022-09-22,0.75,True,False,0.0,-1.68,-2.9,-2.03,-0.86,0.0,-1.31,-1.87,-2.33,-5.23,0.0,-1.58,-3.55,-1.17,5.55,0.0,-1.16,-5.17,-7.12,-8.15,0.0,-1.24,-5.17,-3.3,-5.91
2022-11-03,0.75,True,False,0.0,1.44,2.96,6.5,3.78,0.0,1.83,4.52,11.09,7.29,0.0,1.83,3.45,6.19,1.2,0.0,0.61,-0.61,0.88,5.7,0.0,1.4,1.99,5.66,5.07
2022-12-15,0.5,True,False,0.0,-1.18,-1.88,-1.66,4.8,0.0,-1.32,-2.49,-4.19,5.54,0.0,-0.77,-0.62,0.57,8.33,0.0,-1.7,-2.06,0.33,-2.85,0.0,-2.95,-4.31,-3.03,6.24
2023-02-02,0.25,True,False,0.0,-1.06,-0.38,-0.95,-6.07,0.0,-0.83,0.41,-0.1,0.35,0.0,-0.19,0.93,0.68,-15.49,0.0,-2.09,-1.3,-1.79,-3.45,0.0,-2.08,-3.08,-3.2,-13.39
2023-03-23,0.25,True,False,0.0,0.66,0.62,4.52,4.95,0.0,0.26,-0.98,3.57,3.89,0.0,-0.06,1.29,3.87,4.26,0.0,3.12,3.53,5.54,8.37,0.0,2.57,1.88,6.96,8.15
2023-05-04,0.25,True,False,0.0,1.85,1.43,1.95,8.88,0.0,2.51,1.67,3.16,17.39,0.0,2.47,2.25,1.93,6.43,0.0,0.64,0.2,-0.63,-1.88,0.0,1.55,0.52,0.41,2.22
2023-07-27,0.25,True,False,0.0,0.98,0.88,-0.39,-1.54,0.0,1.36,1.77,-2.23,-1.57,0.0,0.2,0.57,0.77,-2.36,0.0,-0.22,-1.4,-4.78,-5.97,0.0,-0.29,0.32,-1.21,-3.63
2024-09-19,-0.5,False,True,0.0,-0.17,0.36,0.8,-0.1,0.0,-0.49,0.18,1.14,-0.44,0.0,-0.07,-1.02,-0.45,2.1,0.0,2.64,2.92,4.24,3.12,0.0,-0.18,0.93,0.5,-2.81
2024-11-08,-0.25,False,True,0.0,0.1,-0.17,-1.32,-0.25,0.0,-0.55,-0.77,-2.46,0.55,0.0,1.42,1.18,1.02,-1.15,0.0,0.28,-1.05,1.6,-3.14,0.0,-0.87,-1.34,-0.84,-6.68
2024-12-19,-0.25,False,True,0.0,1.2,2.94,0.33,3.44,0.0,1.49,3.63,0.18,0.9,0.0,1.49,2.93,1.54,8.58,0.0,1.6,2.5,1.45,5.06,0.0,1.82,2.97,2.61,5.97
2025-09-18,-0.25,False,True,0.0,0.5,0.42,0.49,2.94,0.0,1.01,1.62,1.66,8.93,0.0,0.22,-0.36,0.33,-3.19,0.0,0.64,2.14,3.83,7.01,0.0,-0.5,0.62,0.52,-2.06
2025-10-30,-0.25,False,True,0.0,0.33,-0.68,0.24,0.28,0.0,0.1,-2.15,-1.62,-4.33,0.0,0.27,0.36,1.42,5.21,0.0,-0.69,-0.99,-0.07,-4.53,0.0,0.05,0.15,0.88,-0.32
2025-12-11,-0.25,False,True,0.0,-1.08,-1.49,-0.34,1.22,0.0,-2.89,-3.66,-1.75,0.21,0.0,0.15,-0.42,1.17,-3.07,0.0,-0.49,0.0,-0.59,1.66,0.0,-0.12,-0.61,-0.42,2.21
